,-3,Invalid: other,,,
,-2,Invalid: subject,,,
,-1,Invalid: object,,,
,0,Unclear,,,
,1,Valid: but grammar issue or pragmatically strange,,,
,2,Valid,,,
Sentence,Valid/Invalid,Reason Why,"Correct Type 
(exact SUMO term,
if more than one, 
separate with commas)","Invalid 
Preposition","Correct
Preposition"
A coccidioides immitis will not kill.,1,fungus typically kills/doesn't kill something else; but seems ,,FALSE,
A constrictor snake adds a bed linen.,-3,role mismatch,SentientAgent,FALSE,
A hospital organization protects a communications satellite.,1,,,FALSE,
A rattlesnake was killing a toxic organism.,1,,,FALSE,
Who will inherit a virus part?,1,,,FALSE,
8 bipeds consider at a gastropod.,1,grammar at,,FALSE,
Who will not dishonour a human child?,2,,,FALSE,
A human has not reproduced a Facility.,2,,,FALSE,
A human child is not searching for a some connective tissue.,2,,,FALSE,
Hamish stole a facial hair from a publisher.,-1,facial hair is not an object that can be stolen,"Object, Physical",FALSE,
Edmund will be driving a powered vehicle.,2,,,FALSE,
A human was inheritting ten rib cages.,1,,,FALSE,
A worm has not ate a food from plant.,1,,,FALSE,
A human adult will be voting.,2,,,FALSE,
A poultry will translate a motion picture into a gallo iberian language.,-2,poultry has no agency; translate requries conscious agency,SentientAgent,FALSE,
A pig will not sell some cocoa bean a geopolitical area.,-2,pig has no marketplace agency; sell requries conscious agency,SentientAgent,FALSE,
7 human adults were disbursing a human adult.,-1,"disburse a nonconscious collection of items, not a person",FinancialInstrument,FALSE,
8 humans damages a military force.,2,,,FALSE,
A cerebellar artery isn't firing.,-2,"""fire"" requires some ""agency""; in scientific setting, neurons ""fire"" but arteries have no units of consciousness",SentientAgent,FALSE,
A cub ate some seafood.,2,,,FALSE,
A human adult was giving a hominid to a human adult.,1,,,FALSE,
A human stole a Naval Air Force from a graduate school.,-3,naval air force does not belog to a graduate school,"Physical, SentientAgent",FALSE,
A corporation burns.,0,typically need an object; intransitive use is more metaphorical,,FALSE,
Arnold will not plan a social interaction.,2,,,FALSE,
A variola minor evacuates some feces from a tongue.,-3,"variola minor has no agency; evacuate reuqires agency; also feces is not an entity that can be evacuated, which also applies to entities (or by extension objects) that may feel imperiled","SentientAgent, BodyPart",FALSE,
A safety device doesn't hide a region.,0,,,FALSE,
A pusher tug will match a grenade an anterior cerebral artery.,-3,,,FALSE,
A human child forgives a reel to a human child.,-1,forgive an emotional entity; reel is not conscious,IntentionalProcess,FALSE,
A human adult was not pilotting a military aircraft.,2,,,FALSE,
Three sheepdogs will nod a radial collateral artery.,-1,object of nod is something that can be gesticulated; artery is interior,"Communication, SocialInteraction",FALSE,
A human child was locating an animal shell.,2,,,FALSE,
Zero amphibians will be suspiring a registered bond.,0,?,,FALSE,
A human child was helping Veronica.,2,,,FALSE,
A warm blooded vertebrate will see a nasal bone.,2,,,FALSE,
A human will not be voting.,2,,,FALSE,
A warm blooded vertebrate isn't comprehending a jungle.,2,,,FALSE,
A coccyx concealed some mussel.,0,?,,FALSE,
Some skimmed milk was boiling.,2,,,FALSE,
A gastropod will be starving five gastropods.,1,,,FALSE,
A human befriends a man.,2,,,FALSE,
Who has not paid Adrian?,2,,,FALSE,
Five human adults braked a merchant marine ship.,2,,,FALSE,
Who is advertizing some parmesan cheese to null?,NULL,advertise to a non-null entity,,FALSE,
A mammal was reexamining at a lung.,1,,,FALSE,
Richard grew seven ferns.,2,,,FALSE,
A human adult adjudicated 9 chapters.,0,,,FALSE,
Seven human adults were choreographing an orchestral conducting.,1,,,FALSE,
A cow wasn't burying a fox.,2,,,FALSE,
Cindy will be spreading a computer network to a fire extinguisher.,-3,"spread a newtork to a new field, location, but not object",ComputerProcess,FALSE,
A woman will nod a game board.,-1,typically nod something you are in possession of to gesticulate,"Communication, SocialInteraction",FALSE,
A vulture killed.,2,,,FALSE,
Gary took from some conch null.,NULL,"took ""nothing"" from some conch",,FALSE,
A human doesn't advertise a single family residence to null.,NULL,,,FALSE,
7 human children treat a chairman manual.,-1,typically treat an agent/entity not an object,SentientAgent,FALSE,
Who is nodding a network adapter?,-1,network adapter does not have gesticulation capabilities,SentientAgent,FALSE,
A manufacturer wets some freshwater to 8 ounces of soup stock.,-3,,,FALSE,
A school protects a ships hull.,2,,,FALSE,
Stephen will set a cucumber plant.,2,,,FALSE,
A mine is firing.,2,landmine exploding,,FALSE,
Oscar will be kicking 8 legs with a foot.,2,,,FALSE,
A human adult is telephoning a human adult a mobile cell phone.,1,"forgot ""on""",,FALSE,
A RNA virus will convert 4 legionellas for a guitar.,-3,guitar has no use for legionellas,,FALSE,
9 latss were drilling the hole.,1,LATSs?,,FALSE,
Who was comparing an Independent Methodist church?,1,ok if referring to external context,,FALSE,
A puppy will bury a deck cargo ship.,1,pragmatic,,FALSE,
An unit of volume doesn't decrease.,2,,,FALSE,
Who will communicate with Laura?,2,,,FALSE,
A human promotes some folacin to null.,NULL,pragmatic,,FALSE,
Phoebe will design a driving range.,2,,,FALSE,
A human adult was planning a legal acquittal.,2,,,FALSE,
Who stores a museum?,1,pragmatic,,FALSE,
Vivian will clean a mucosa.,1,grammar,,FALSE,
Six humans is not acting.,1,grammar,,FALSE,
A fly insect ducks to avoid a a pericardial sac.,1,pragmatic,,FALSE,
A crustacean wets some sea water to a seaweed.,-1,sea water is already wet,,FALSE,
Eight human children were stealing a joint test from an ethnic group.,2,,,FALSE,
A human adult is producing a demonstrating to a human adult.,1,grammar: demonstration for,,FALSE,
A man inherited a biped.,2,,,FALSE,
A human baby is massaging a human baby.,2,,,FALSE,
A bacterial agent is uncovering a vaccinia virus.,-2,bacteria has no agency; uncovering requires agency,SentientAgent,FALSE,
A crustacean doesn't dream.,2,,,FALSE,
Vincent shoots a grenade launcher.,2,,,FALSE,
A nasal trumpet will be choking a yersinia pestis.,-3,"yersenia is a bacteria which may use oxygen, but a nasal trumpet is too large relative to bacteria",,FALSE,
A data transfer downloads a XML file.,1,a data transfer has no agency; download requires agency,,FALSE,
Some freshwater is diluting some saline solution.,2,,,FALSE,
A human adult will not be nodding a projectile shell.,-1,can only nod something possessed and gesticulable,Head,FALSE,
Some biological agent is combining with some biopolymer.,2,,,FALSE,
Who will xerox a right navicular bone?,1,,,FALSE,
A reindeer will kick ten reindeers with a cotton fabric.,-3,kick with something it agent's possession; a reindeer does not have object posessions (such as cotton fabric),AnimalAnatomicalStructure,FALSE,
Two staphylococcus aurei were killing a salmonella typhimurium.,2,,,FALSE,
A human youth punches a protective eyewear.,2,,,FALSE,
Elvis won't be referring a set of equations.,2,,,FALSE,
Jed was impersonating.,2,,,FALSE,
A human youth submitted some antibody to null.,NULL,,,FALSE,
A human child will not be separating a non null set.,NULL,,,FALSE,
An aquatic mammal doesn't imbibe 4.58 cups of coffee.,2,,,FALSE,
A human child will be toying.,-3,toy with,"Object, Physical",TRUE,
Some semolina flour will burn.,2,,,FALSE,
Duncan refers a finite set.,NULL,(finite set stand in?),,FALSE,
A front desk is not leaving a parking lot.,-2,front desk has no agency; leaving requires agency,TransportationDevice,FALSE,
A man was smoking 3 worms.,1,,,FALSE,
A posterior tibial artery will be firing.,-2,artery cannot fire like a neuron,"NerveCell, SentientAgent",FALSE,
A Cedar tree mashed some blood plasma.,1,,,FALSE,
A time dependent quantity will not fortify.,NULL,,,FALSE,
An ethnic group takes a shimagh.,2,,,FALSE,
A DNA virus doesn't relinquish a chromotin.,0,,,FALSE,
A Crusaders union is assailing.,-1,typically assail an object,,FALSE,
A crustacean will be concealing some suet.,1,,,FALSE,
Cinderalla pares an eyelid from a lateral superior genicular artery.,-1,an artery does not have an eyelid,,FALSE,
A human immunizes Jim with a bumble bee.,1,,,FALSE,
A human is planning an encoding.,1,,,FALSE,
A book publisher doesn't sell some distilled alcoholic beverage a government cabinet.,-3,indirect object cannot enter into transaction,,TRUE,
A sock was stretching.,2,,,FALSE,
A human won't be nodding a left subclavian artery.,-1,nod a head; artery is not gesticulable,BodyPart,FALSE,
3 human adults doesn't beckon with an engine choke.,-3,becokn tol but and engine choke is not something that recognizes a beckon; nonsentient,,FALSE,
Some ice doesn't freeze.,2,,,FALSE,
