Length,Average Number of Sentences,Complex Sentence
40,1.1,"Adjacent counties are Marin (to the south), Mendocino (to the north), Lake (northeast), Napa (to the east), and Solano and Contra Costa (to the southeast)."
10,1.1,A Georgian inscription around the drum attests his name.
37,2.0,"They would later return to the revived series in the 2008 Christmas Special ""The Next Doctor"", introducing two new variants of the race; the Cyber-Shades and the Cyber-King."
23,1.4,"Jameson's autobiography, How to Make Love Like a Porn Star: A Cautionary Tale was published August 17, 2004."
10,1.0,It is particularly famous for the cultivation of kiwifruit.
29,1.4,"Singles competition (2002 – 2003) After years in the tag team division, Hardy took on The Undertaker in a ladder match for the Undisputed Championship."
22,1.3,"Many of the churches work together for town-wide projects under the banner of ""Churches Together in Stevenage""."
24,1.1,Word processing templates enable the ability to bypass the initial setup and configuration time necessary to create standardized documents such as a resume.
11,1.3,Rollins retired in 1962 and opted to become a coach.
18,1.6,"History Landsberg prison, which is in the town's western outskirts, was completed in 1910."
13,1.0,A hunting dog refers to any dog who assists humans in hunting.
24,1.5,"The Empire of Nicaea succeeded in capturing Constantinople and the rest of the Latin Empire, thus re-establishing the Byzantine Empire."
22,1.3,"This led scientists to re-examine the old photos again, and the satellite was finally found in the images."
23,1.6,"Marcel Junod (1904 - 1961), a physician from Geneva, was another famous delegate during the Second World War."
43,1.7,"Whisenhunt's career as a player included 4 years (1985 - 88) as a tight end with the Atlanta Falcons, who drafted him in the twelfth round, and then spells with the Washington Redskins and New York Jets."
16,1.4,"In return, Romania ceded three southern districts of Bessarabia to Russia and acquired Dobruja."
13,1.0,"In March 2001, the World Wrestling Federation purchased World Championship Wrestling."
41,1.8,"The West Coast blues is a type of blues music characterized by jazz and jump blues influences, strong piano-dominated sounds and jazzy guitar solos, which originated from Texas blues players relocated to California in the 1940s."
12,1.0,Subsequent visits reported seeing the flag flying from places of honor.
17,1.2,Agriculture Locals grow seasonal crops such as Maize (makai) and Wheat (kanak).
27,1.4,"In 2004, Roy was selected as the greatest goaltender in NHL history by a panel of 41 writers, coupled with a simultaneous fan poll."
12,1.0,Frances was later absorbed by an extratropical cyclone on November 21.
25,1.6,"Tracking northwestward, the depression moved ashore near Fort Walton Beach early on September 22, and shortly thereafter it dissipated over southeastern Alabama."
11,1.0,Anthony McGill is the principal clarinetist for the Metropolitan Opera.
38,1.2,The author (s) and publisher (s) of the Document do not by this License give permission to use their names for publicity for or to assert or imply endorsement of any Modified Version.
43,1.5,"The British Rail Class 91 is a class of 140 mph (225 km / h), 4.54MW / 6,300 hp electric locomotives ordered as a component of the East Coast Main Line modernisation and electrification programme of the late 1980s."
20,1.7,"The premiere received a 2.79 rating, making it the highest rated show on cable in its time slot."
14,1.0,There are claims that thousands of people were impaled at a single time.
33,1.2,"The name ""hornet"" is used for this and related species primarily because of their habit of making aerial nests (similar to the true hornets) rather than subterranean nests."
11,1.0,"In 1589, salt began to be made in Sunderland."
19,1.4,"Some trails are designated as nature trails, and are used by people learning about the natural world."
21,1.3,"In August 2007, Hager was reassigned to Florida Championship Wrestling, where he began a feud with TJ Wilson."
13,1.0,These rock formations are characteristically composed of sandstone with layers of quartz.
11,1.0,Notably absent from the city are fortifications and military structures.
39,2.0,"San Francisco Bay is located in the U. S. state of California, surrounded by a contiguous region known as the San Francisco Bay Area, dominated by the large cities San Francisco, Oakland and San Jose."
28,1.6,"Adrastea was discovered by David C. Jewitt and G. Edward Danielson in Voyager 2 probe photographs taken on July 8, 1979, and received the designation."
12,1.1,"Picasa Web Albums was first leaked on June 6, 2006."
10,1.0,It is probably a primitive body composed of carbonates.
16,1.2,"Either way, Artemis was born first and then assisted with the birth of Apollo."
11,1.0,The park has become a traditional location for mass demonstrations.
16,1.4,Breaking Dawn is the fourth and final novel in the Twilight series by Stephenie Meyer.
13,1.7,"The main town is Abingdon, other places include Faringdon and Wantage."
7,1.0,The municipality has about 5700 inhabitants.
15,1.1,"42 – 59 External links 2001 Census, accessed Nov. 29, 2006 geo."
22,1.1,"It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard, et al."
15,1.3,Nocturnes is an orchestral composition in three movements by the French composer Claude Debussy.
20,1.0,The Alexandrian Life of Aeschylus indicates that the playwright took the first prize at the City Dionysia thirteen times.
25,1.5,"Calvinism gained some popularity in Scandinavia, especially Sweden, but was rejected in favor of Lutheranism after the synod of Uppsala in 1593."
15,1.1,He was holidaying in Germany the following summer when World War I broke out.
24,1.0,"In order to accomplish their objective, surveyors use elements of geometry, engineering, trigonometry, mathematics, physics, and law."
29,1.2,"Given their low metabolic rate and the low density of prey at such depths, Vampire Squid must use innovative predator avoidance tactics in order to conserve energy."
11,1.0,In the 1950s Camus devoted his efforts to human rights.
21,1.6,"Iron Maiden, released on April 14, 1980, is the debut album by heavy metal band Iron Maiden."
26,1.1,"The Vezina Trophy is awarded annually to the National Hockey League's goaltender who is ""adjudged to be the best at this position""."
27,1.7,"It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard in 2000, and given the temporary designation."
16,1.4,"Hydra appears to be spectrally neutral like Charon and Nix, though Pluto is reddish."
18,1.1,Key factors in an RTOS are therefore a minimal interrupt latency and a minimal thread switching latency.
14,1.0,"The waxing crescent moon ""represents a young nation on the ascendant""."
33,1.6,"The ALU is a fundamental building block of the central processing unit (CPU) of a computer, and even the simplest microprocessors contain one for purposes such as maintaining timers."
19,1.1,"Probably in the ninth century, the village became part of the territory of the monastery of Reichenau."
29,1.3,"At the 2008 Cannes Film Festival, Alain Siritzky announced that a worldwide search was underway for a new Emmanuelle to star in a new series of films."
19,1.2,"Hardy also cites ""burn out"" and the need for time off as reasons for leaving WWE."
12,1.0,Q is the seventeenth letter of the basic modern Latin alphabet.
11,1.4,Among the casualties were two fishers who were reported missing.
26,1.8,This book by itself is out of print having been published along with nine short stories in the collection The Worthing Saga (1990).
21,1.6,"The 1977 Atlantic hurricane season officially began on June 1, 1977, and lasted until November 30, 1977."
12,1.0,"Due to the Cold War, subsequent trials never took place."
16,1.5,Dundee has two universities — the University of Abertay Dundee and the University of Dundee.
24,1.4,"John Paul Stevens (born April 20, 1920) is the senior Associate Justice of the Supreme Court of the United States."
24,1.5,"For a period, platforms at both the old and new stations operated, before the original station finally closed and was demolished."
33,1.6,"However, all of the storms that have impacted Arizona have formed in the latter parts of the Pacific hurricane season, and only storm remnants have affected the state before August."
36,1.4,"The two Byzantine outbreaks during the 8th and 9th centuries were unusual in that the use of images was the main issue in the dispute, rather than a by-product of wider concerns."
26,1.5,"It was discovered by a team of astronomers from the University of Hawaii led by Scott S. Sheppard in 2003, receiving the temporary designation."
23,1.3,"The French word bourgeois evolved from the Old French word burgeis, meaning ""an inhabitant of a town"" (cf."
33,1.8,"The Book of Nehemiah is a book of the Hebrew Bible, historically regarded as a continuation of the Book of Ezra, and is sometimes called the second book of Ezra."
29,1.6,"The Erotian surface gravity varies greatly, since Eros is not a sphere but an elongated peanut-shaped (or potato- or shoe-shaped) object."
23,1.3,Definition Overview The key idea behind a Reed – Solomon code is that the data encoded is first visualized as a polynomial.
41,1.4,"The WWF consisted of Stone Cold Steve Austin, Kurt Angle, Chris Jericho, Kane, and the Undertaker, who all squared off against the team of DDP, Booker T, Rhyno, and the Dudley Boys."
21,1.3,"Memory locations can also be renamed, although it is not commonly done to the extent practised in register renaming."
14,1.1,Disputes between European and Chinese miners flared into brawls at Daylesford and Castlemaine.
23,1.3,"Tourism is concentrated in the mountains, particularly around the towns of Davos / Arosa, Laax and St. Moritz / Pontresina."
9,1.0,"It was discovered on February 27, 1995."
25,2.0,"They were introduced to Europe in 1846 by Robert Fortune, collector for the London Horticultural Society, and shortly thereafter into North America."
13,1.5,He began this form of ministry in 1947 and continued until recently.
11,1.0,Anne Frank was deported on the last train from Westerbork.
21,1.7,"Upper body Sleeveless shirt Tank top, wife beater, singlet A sleeveless garment similar to a T-shirt."
18,1.5,"The moon is very elongated, with its short axis 0.5 ± 0.1 times the long axis."
24,1.4,"They claimed to be playing an April Fool's joke, but most people who saw the signs were unfamiliar with the phrase."
22,1.5,"A parallel to tributaries is the distributary, a river that branches off of and flows away from the main stream."
27,1.8,"The inner eyewall dissipated as a 23 mile (37 km) outer eyewall became dominant, and concurrently the overall organization of the hurricane improved."
12,1.3,The White Sox play in the American League's Central Division.
27,1.7,"When Damocles was discovered, in 1991 by Robert H. McNaught, it was found to be on an orbit completely different from all others known."
21,1.4,The Blake River Megacaldera Complex is considered a supervolcano due to its great size and its multiple dikes and vents.
24,1.4,"Six species live in the greater Caribbean region, including the Queen Conch, and the West Indian Fighting Conch, Strombus pugilis."
21,1.1,"With its completion in 1992, uninterrupted water transport was made possible between the North Sea and the Black Sea."
50,1.9,World temperatures could rise by between 1.1 and 6.4 ° C (2.0 and 11.5 ° F) during the 21st century (table 3) and that: Sea levels will probably rise by 18 to 59 cm (7.08 to 23.22 in) [table 3].
22,1.4,In reality Angle announced that he would be having neck surgery in May and would be out of action until August.
26,1.7,"These flies are clothed in black or pale (white or golden) hairs, and are themselves either black or metallic green or blue."
22,1.2,Packaged instant soups come in several varieties: A packet of dry soup stock (like the ramen image below).
10,1.2,Since 1980 the senior pastor has been John Piper.
18,1.1,"It aims to be fast and lightweight, while still being visually appealing and easy to use."
29,2.0,"The subsequent campaigns were more or less successful, and the Imperial Exarchate was established in Ravenna to oversee Italy, though actually imperial influence was often limited."
30,1.2,September 13 - Astronomers from the European Southern Observatory (ESO) announce images that appear to show a planet orbiting a brown dwarf about 230 light years away.
18,1.1,"In 1919, all of the major pro-independence factions formed the Provisional Government in Shanghai."
26,1.3,This has the advantage of evenly distributed spatial resolution without singularities (i. e. the poles) at the expense of somewhat greater numerical difficulty.
20,1.4,"One winter night, she was left alone while her son and his wife went to a basketball game."
15,1.2,"Since then, the medal has been awarded 1,356 times to 1,353 individual recipients."
32,1.4,"Justification is seen by Protestants as being the theological fault line that divided Roman Catholic from Protestant during the ReformationFor example, Kurt Aland, A History of Christianity, vol."
25,1.6,"The tornado destroyed 20 homes, left 30 others severely damaged, injured one person, and caused power outages for about 300 people."
13,1.0,Ban became actively involved in issues relating to inter-Korean relationships.
10,1.0,Ensuring that the food supply is free of contamination.
19,1.3,"The series returned from hiatus on February 7, 2007 and was aired at 10: 00 pm."
21,1.4,"The hot metal straightener slid easily through the hair, causing less damage and dryness than previously-used techniques."
19,1.2,"Partnerships Since 1990 the district has a partnership with the district Main-Kinzig in Hessen, Germany."
15,1.1,"Its articles are now carried by press release archives like World News, scoop."
