sentence,avg_nll,p95,human_label
Some wine is working.,6.877057,8.844114,-1
2 women has not massaged a girl.,6.545068,11.113664,1
A boy wasn't massaging a girl.,4.826046,9.027565,2
A human child is directing some life threatening agent to a lemur.,5.54131,9.246675,2
A Methodist church in GB protected a saddle.,7.842636,12.91669,2
A man will dodge a left metatarsal 1 bone.,5.554859,11.508259,-1
An angel grants an american express card.,6.35197,8.903576,-1
A woman shared some oil from plant a joint forces.,7.479283,11.35015,-1
Five human babys were expressing a subjective emotional feeling to a girl.,6.841159,13.36235,-1
9.972 liquor shots of freshwater doesn't freeze.,8.065246,12.255363,1
A teenager will be borrowing a human baby.,6.218522,8.583961,-1
A teenager is imagining 0 ivories.,7.251507,14.355794,1
A grassland doesn't smoothen a toilet.,5.707823,10.959291,-1
Five mules kill a chordopoxvirinae.,6.763917,9.414721,-1
A consumer price index minifies.,6.607588,9.568284,-1
A teenager will nod a head.,6.613082,8.064207,3
A tick borne encephalitis virus is penalising a barley grass.,5.174378,11.889574,-1
A human child will be paring an eyelid from a vaccinia virus.,5.292387,10.42578,-3
6 girls are judging a question.,6.838539,10.572968,3
A shigella dysenteriae will shut.,5.305087,9.593441,-2
Zero men will be tasting some soda.,7.514009,10.817141,3
A man plays.,7.1146,7.402863,3
A teenager will be studying a twenty foot heavy duty container.,5.917625,8.964963,3
A human baby will be showing a llama to a deity.,6.271006,12.397979,1
A human child thinks a golf package.,7.407165,10.710775,1
A human adult was befriending 6 women.,5.333663,8.325897,3
A bordetella pertussis won't pull some boulder.,5.166441,13.13874,-2
An angel will be awarding a currency bill.,6.837758,13.603908,3
A virus eliminates some urine from a hyoid artery.,6.302715,10.028608,1
A woman has not shot an automatic gun.,5.03667,7.641005,3
A human baby was not granting a death certificate.,5.799972,8.325897,1
Six reindeers ducked to avoid a a button.,5.803343,12.06717,1
An egg yolk will dissever from some adrenaline.,6.240814,12.089067,-3
A human baby dumps a below the line.,6.705144,12.098376,-2
A girl doesn't iron an offshore well production ship.,7.021521,12.247174,-1
0 human youths will read a a british pound coin.,7.581984,11.756456,1
2 girls will xerox a two dimensional object.,6.050435,8.820261,3
A man plugs a worker insect.,7.044308,10.771983,-1
A deity will impersonate.,6.938356,10.177295,1
A woman looks for a some bauxite.,5.273771,7.712553,3
A rattlesnake kills.,4.531074,7.839273,1
5 men caught some riboflavin.,6.011348,8.958459,1
An alligator is imbibing some processed milk.,5.299111,10.575119,1
Six men conveyed a diode to a left humerus.,6.074654,11.177307,1
An automated notification system constricts a permanent magnet dc motor.,5.475066,10.008808,-3
A dachshund is kicking a L1 vertebra bone with a foot.,4.615384,9.766134,1
A human baby is injecting some histone into a poodle.,5.280884,9.706342,-2
A boy doesn't find a heart palpitations.,5.183303,7.969146,1
A teenager bound a die to a medulla.,6.547205,10.247257,1
