sentence,label
A boy wasn't massaging a girl.,1
A human child is directing some life threatening agent to a lemur.,1
A Methodist church in GB protected a saddle.,1
A teenager is imagining 0 ivories.,1
6 girls are judging a question.,1
Zero men will be tasting some soda.,1
A man plays.,1
A human adult was befriending 6 women.,1
A woman has not shot an automatic gun.,1
2 girls will xerox a two dimensional object.,1
A rattlesnake kills.,1
An alligator is imbibing some processed milk.,1
A political coalition doesn't attack.,1
A human adult is paying a deity.,1
A teenager will ideate an altimeter.,1
A human child smoked a cigar or cigarette.,1
3 rodents will be seeing some food.,1
A man was massaging a human child.,1
A human child grows a tea tree.,1
A human child helped a girl.,1
A human child tastes some sunflower oil.,1
A human adult tastes some seafood.,1
A girl will be wading through an inlet passage.,1
A human child will befriend a human youth.,1
A human child will be xeroxing a two dimensional object.,1
A carnivore kills a tick.,1
A butterfly was seeing a sword.,1
An angel has not fried some goat meat.,1
A girl will be dodging a skate.,1
A human adult will be sculpting a sculpture.,1
A teenager cleans.,1
A llama sees a mass airflow sensor.,1
A human adult was sculpturing a sculpture.,1
A teenager observed 6 PATELLAs.,1
Gerald doesn't lend a DVD to a human adult.,1
A human youth is toying.,1
A woman was acting.,1
A deity irrigates the fertile terrain.,1
8 men won't vote.,1
A deity fished seven tunas.,1
A human youth befriended a teenager.,1
A communist party will not mail a letter.,1
Six human adults weren't paying a teenager.,1
A human child won't be soldering some steel.,1
A teenager will be shouting.,1
A human youth massages a human child.,1
A woman is shooting a m240.,1
A girl waters the fertile terrain.,1
A deity will perform.,1
A human adult will judge a question.,1
An irrigation channel is closing.,1
A man doesn't paint a directional control valve.,1
A teenager will not express a subjective emotional feeling to a girl.,1
A human child will be questioning a girl.,1
Catherine will be downloading a JPG file.,1
A human child will perform.,1
A boy was choosing a question.,1
Four human youths will not perform.,1
2 human youths will be voting.,1
A human child will be watering the fertile terrain.,1
A human youth waves with a hand.,1
A Javelin anti-tank missile has not turned.,1
10 boys were not judging a question.,1
Grace is placing a coin.,1
A human adult paints an Elim pentecostal church.,1
A human youth questioned a girl.,1
A human adult specifies a nonprofit organization to accomplish an IT process.,1
A girl dodges some pine wood.,1
A boy is playing.,1
Some wheat flour ferments.,1
Six human adults will be voting.,1
Two teenagers were soldering some brass.,1
8 human adults buy a house.,1
A human child was massaging a man.,1
A lion was killing a grasshopper.,1
Some maple wood will frost.,1
A water buffalo will be smelling with a nose.,1
A mouse is not chewing.,1
A domestic dog will be smelling with a nose.,1
A hominid ducked to avoid a a telephone handset.,1
An airbag wasn't inflating with some greenhouse gas.,1
A human baby doesn't look for a a national government.,1
A Cypress tree will not kill a poultry.,1
Victoria is paying an angel.,1
A land mine has not fired.,1
A human youth seeks for a a water ski.,1
A woman plans a rowing.,1
A man is not assisting a deity.,1
A human child will be fishing a skate.,1
Seven boys were not comparing an inland water system.,1
4 boys sculpt a sculpture.,1
A teenager is buying a printed sheet.,1
A human baby will beckon with a hand.,1
A teenager was befriending a human baby.,1
A boy is not painting some tantalum.,1
An electrical transformer isn't compacting a spring.,1
4 teenagers will be placing an united states dollar bill.,1
A crustacean will consume some sauce.,1
A girl produces an alfalfa plant.,1
A woman mails a letter.,1
An optical device doesn't melt.,1
Who observed 16.14 pound masss of rhodium?,1
Ten men will be voting.,1
A woman dredges a river mouth.,1
A boy dishonours 3 human youths.,1
A girl solders some steel.,1
A human youth befriended a boy.,1
A boy was communicating with a human baby.,1
A man is painting an air intake.,1
A girl was analyzing a bleeder valve.,1
A funeral arranger was refinancing a day loan.,1
Some nutmeg works.,1
A human baby doesn't toy.,1
A human youth will ravish a human adult.,1
4.84 cubic foots of industrial alcohol poisons a mammal.,1
A teenager was singing a song with a disgusted voice utterance.,1
Some industrial alcohol poisons an unenveloped virus.,1
An airbag will inflate with some greenhouse gas.,1
An angel is understanding a chairman instruction.,1
A girl will study a queen insect.,1
A teenager is reading a a message.,1
A man is locating some instant coffee.,1
A human child interviews a human baby.,1
Some snow is freezing.,1
A girl buys a freight car.,1
A woman won't be placing eight united states cent coins.,1
Dalton wasn't reproducing a car alarm.,1
