sentence,n_tokens,avg_nll,p95,p99,max_surp,spike_frac_35,spike_frac_50,run_norm_35,uniq_token_ratio,rep_1gram,rep_2gram,top1_prob_mean,top1_minus_true_mean,punct_ratio,digit_ratio,upper_ratio,paren_imbalance_abs,bracket_imbalance_abs,human_label
Some wine is working.,5,6.878906,8.84375,8.84375,11,0.8,0.6,0.4,1,0,0,0.161987,0.147583,0.047619,0,0.047619,0,0,-1
2 women has not massaged a girl.,9,6.542752,11.109375,11.109375,12.21875,0.888889,0.555556,0.555556,1,0,0,0.193726,0.174561,0.03125,0.03125,0,0,0,1
A boy wasn't massaging a girl.,9,4.828505,9.03125,9.03125,12.65625,0.444444,0.333333,0.333333,1,0,0,0.300293,0.179077,0.066667,0,0.033333,0,0,2
A human child is directing some life threatening agent to a lemur.,14,5.540702,9.242188,9.242188,13.007812,0.642857,0.571429,0.357143,1,0,0,0.215698,0.126343,0.015152,0,0.015152,0,0,2
A Methodist church in GB protected a saddle.,9,7.843479,12.921875,12.921875,15.765625,0.666667,0.555556,0.222222,1,0,0,0.186523,0.128174,0.022727,0,0.090909,0,0,2
A man will dodge a left metatarsal 1 bone.,13,5.555936,11.515625,11.515625,12.507812,0.692308,0.461538,0.307692,1,0,0,0.332764,0.204346,0.02381,0.02381,0.02381,0,0,-1
An angel grants an american express card.,8,6.351074,8.898438,8.898438,9.742188,0.75,0.625,0.75,1,0,0,0.17334,0.134033,0.02439,0,0.02439,0,0,0
A woman shared some oil from plant a joint forces.,11,7.477805,11.34375,11.34375,11.515625,0.909091,0.727273,0.454545,1,0,0,0.239746,0.232544,0.02,0,0.02,0,0,1
Five human babys were expressing a subjective emotional feeling to a girl.,13,6.841121,13.359375,13.359375,14.953125,0.769231,0.615385,0.384615,0.923077,0,0,0.213745,0.188232,0.013514,0,0.013514,0,0,2
9.972 liquor shots of freshwater doesn't freeze.,11,8.0625,12.25,12.25,15.9375,0.636364,0.636364,0.272727,0.909091,0,0,0.169434,0.107666,0.0625,0.083333,0,0,0,1
A teenager will be borrowing a human baby.,9,6.218859,8.578125,8.578125,14.304688,0.777778,0.666667,0.333333,1,0,0,0.225342,0.163452,0.02381,0,0.02381,0,0,-1
A teenager is imagining 0 ivories.,9,7.252821,14.351562,14.351562,15.085938,0.777778,0.555556,0.555556,1,0,0,0.178955,0.162598,0.029412,0.029412,0.029412,0,0,1
A grassland doesn't smoothen a toilet.,11,5.707697,10.960938,10.960938,11.023438,0.636364,0.363636,0.181818,1,0,0,0.304688,0.244141,0.052632,0,0.026316,0,0,-1
Five mules kill a chordopoxvirinae.,11,6.762962,9.414062,9.414062,14.71875,0.818182,0.545455,0.363636,1,0,0,0.21167,0.194458,0.028571,0,0.028571,0,0,1
A consumer price index minifies.,7,6.607099,9.570312,9.570312,15.015625,0.857143,0.571429,0.428571,1,0,0,0.332031,0.195312,0.03125,0,0.03125,0,0,1
A teenager will nod a head.,7,6.611886,8.070312,8.070312,15.5,0.857143,0.571429,0.714286,1,0,0,0.202881,0.190308,0.037037,0,0.037037,0,0,3
A tick borne encephalitis virus is penalising a barley grass.,15,5.173239,11.890625,11.890625,17.59375,0.6,0.333333,0.266667,1,0,0,0.377197,0.157104,0.016393,0,0.016393,0,0,1
A human child will be paring an eyelid from a vaccinia virus.,16,5.291855,10.421875,10.421875,13.015625,0.625,0.5,0.25,1,0,0,0.27002,0.175781,0.016393,0,0.016393,0,0,-3
6 girls are judging a question.,7,6.839007,10.578125,10.578125,11.632812,0.714286,0.571429,0.571429,1,0,0,0.150391,0.129272,0.032258,0.032258,0,0,0,3
A shigella dysenteriae will shut.,10,5.304962,9.59375,9.59375,10.171875,0.7,0.5,0.3,1,0,0,0.381104,0.176514,0.030303,0,0.030303,0,0,-2
Zero men will be tasting some soda.,8,7.514099,10.8125,10.8125,12.515625,0.875,0.75,0.5,1,0,0,0.171631,0.12085,0.028571,0,0.028571,0,0,3
A man plays.,4,7.112305,7.40625,7.40625,11.421875,1,0.75,1,1,0,0,0.181396,0.177002,0.083333,0,0.083333,0,0,3
A teenager will be studying a twenty foot heavy duty container.,12,5.917236,8.960938,8.960938,12.195312,0.833333,0.5,0.416667,1,0,0,0.183105,0.151245,0.015873,0,0.015873,0,0,3
A human baby will be showing a llama to a deity.,12,6.269368,12.382812,12.382812,13,0.666667,0.416667,0.333333,0.916667,0,0,0.174683,0.143311,0.020833,0,0.020833,0,0,1
A human child thinks a golf package.,8,7.405029,10.703125,10.703125,10.992188,0.875,0.625,0.5,1,0,0,0.247192,0.240479,0.027778,0,0.027778,0,0,1
