"Input","Prediction"
"Convert the following sentence to SUO-KIF: Battery scientists and engineers have tested the cycle lives of new battery designs in laboratories using a constant rate of discharge followed by recharging.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Putting ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO BatteryDesigns ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Professor Legree carries his umbrella wherever he goes.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Professor" ? H ) ( instance ? P Carrying ) ( agent ? P ? H ) ( instance ? DO Unlabrum ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Nvidia denies rumours it will cut supplies to China.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Nvidia" ? H ) ( instance ? P Decreasing ) ( agent ? P ? H ) ( before Now ( BeginFn ( WhenFn ? P ) ) ) ( instance ? DO Supplies ) ( patient ? P ? DO ) ( instance ? IO China ) ( involvedInEvent ? P ? IO ) ) )"
"Convert the following sentence to SUO-KIF: Pandora opened the box.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Pandora" ? H ) ( instance ? P Leaving ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Box ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The Centers for Disease Control and Prevention's latest calculations put America's life expectancy at 77.5 years.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Putting ) ( agent ? P ? H ) ( temporallyBetween ( BeginFn ( WhenFn ? P ) ) Now ( EndFn ( WhenFn ? P ) ) ) ( instance ? DO LifeExpectancy ) ( objectTransferred ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The climate scenarios that form the basis for countries' decarbonization goals could be faulty, with higher warming levels and greater societal consequences likely to arrive sooner than expected.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Decreasing ) ( agent ? P ? H ) ( instance ? DO ClimateScale ) ( patient ? P ? DO ) ) ) Likely )"
"Convert the following sentence to SUO-KIF: Rising seas and flooding are swallowing our homes.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H RisingSeasAndFloating ) ( instance ? P Translocation ) ( agent ? P ? H ) ( instance ? DO Homes ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The good news is we know how to turn the tide and avoid the worst possible outcomes.","( exists ( ? HA ) ( and ( instance ? HA Human ) ( names "GoodNews" ? HA ) ( knows ? HA ( and ( instance ? RotateTide ) ( avoids ? T ( EndFn ? T ) ( WhenFn ? P ) ) ) ( instance ? RotateTide ) ( patient ? P ? T ) ( instance ? RotateTide ) ( patient ? P ? ) ) ) ) ) )"
"Convert the following sentence to SUO-KIF: Drought in Kenya has reached dramatic levels, with millions of people affected by the lack of water and food.","( modalAttribute ( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Arriving ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO WaterAndFood ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: In the 2024 UN Climate Change Conference (COP29) held in Baku, Azerbaijan this year, Kenya reiterated the need for more financial support from developed countries to find adaptation solutions and help the country overcome such a difficult time.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Kenya" ? H ) ( instance ? P Looking ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO ClimateClimateChange ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: The large quantity of aerosol particles in the air of highly polluted cities reflect sunlight back out into space and can have a net cooling effect on populations.","( exists ( ? KIF ? AC ) ( and ( instance ? K Air ) ( exists ( ? P ? CO2 ) ( and ( instance ? P Reflecting ) ( agent ? P ? CO2 ) ( instance ? P Indicating ) ( agent ? P ? CO2 ) ) )"
"Convert the following sentence to SUO-KIF: Nearly half of Americans (45%) believe global warming will pose a serious threat to themselves or their way of life in their lifetime.","( exists ( ? HA ) ( and ( instance ? HA Human ) ( names "Assistance" ? HA ) ( believes ? HA ( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "GlobalWarming" ? H ) ( instance ? P Putting ) ( agent ? P ? H ) ( before Now ( BeginFn ( WhenFn ? P ) ) ) ( instance ? DO WayOfLife ) ( objectTransferred ? P ? DO ) ) ) ) ) )"
"Convert the following sentence to SUO-KIF: The average temperature in Djibouti in the Horn of Africa has increased each decade since 1971.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Djibouti" ? H ) ( instance ? P Agriculture ) ( agent ? P ? H ) ( before ( EndFn ( WhenFn ? P ) ) Now ) ( instance ? DO Decade ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: African nations are sparring over water resources.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H AfricanNations ) ( instance ? P Sparing ) ( agent ? P ? H ) ( instance ? DO WaterResources ) ( patient ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Plankton were simply unable to keep pace with the current speed of temperature rises.","( exists ( ? KIF ? P ? DO ? IO ) ( and ( instance ? P Keeping ) ( agent ? P ? DO ) ) )"
"Convert the following sentence to SUO-KIF: Burning hydrogen doesn't unleash GHGs to the atmosphere.","( not ( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? H Human ) ( names "Hydrogen" ? H ) ( instance ? P Disseminating ) ( agent ? P ? H ) ( instance ? DO GHGs ) ( patient ? P ? DO ) ( instance ? IO Atmosphere ) ( involvedInEvent ? P ? IO ) ) ) )"
"Convert the following sentence to SUO-KIF: Greenhouse gas emissions rose by 1.3 per cent in 2023.","( exists ( ? H ? P ? DO ? IO ) ( and ( instance ? P Agriculture ) ( agent ? P You ) ( instance ? DO AirEmissions ) ( patient ? P ? DO ) ) )"
