sentence,label,avg_nll,p95,run
Some wine is working.,-1,6.877057,8.844114,2
2 women has not massaged a girl.,-1,6.545068,11.113664,5
A boy wasn't massaging a girl.,-1,4.826046,9.027565,3
A human child is directing some life threatening agent to a lemur.,-1,5.541310,9.246675,5
A Methodist church in GB protected a saddle.,-1,7.842636,12.916690,2
A man will dodge a left metatarsal 1 bone.,-1,5.554859,11.508259,4
An angel grants an american express card.,-1,6.351970,8.903576,6
A woman shared some oil from plant a joint forces.,-1,7.479283,11.350150,5
Five human babys were expressing a subjective emotional feeling to a girl.,-1,6.841159,13.362350,5
9.972 liquor shots of freshwater doesn't freeze.,-1,8.065246,12.255363,3
A teenager will be borrowing a human baby.,-1,6.218522,8.583961,3
A teenager is imagining 0 ivories.,-1,7.251507,14.355794,5
A grassland doesn't smoothen a toilet.,-1,5.707823,10.959291,2
Five mules kill a chordopoxvirinae.,-1,6.763917,9.414721,4
A consumer price index minifies.,-1,6.607588,9.568284,3
A teenager will nod a head.,-1,6.613082,8.064207,5
A tick borne encephalitis virus is penalising a barley grass.,-1,5.174378,11.889574,4
A human child will be paring an eyelid from a vaccinia virus.,-1,5.292387,10.425780,4
6 girls are judging a question.,-1,6.838539,10.572968,4
A shigella dysenteriae will shut.,-1,5.305087,9.593441,3
Zero men will be tasting some soda.,-1,7.514009,10.817141,4
A man plays.,-1,7.114600,7.402863,4
A teenager will be studying a twenty foot heavy duty container.,-1,5.917625,8.964963,5
A human baby will be showing a llama to a deity.,-1,6.271006,12.397979,4
A human child thinks a golf package.,-1,7.407165,10.710775,8
A human adult was befriending 6 women.,-1,5.333663,8.325897,5
A bordetella pertussis won't pull some boulder.,-1,5.166441,13.138740,5
An angel will be awarding a currency bill.,-1,6.837758,13.603908,3
A virus eliminates some urine from a hyoid artery.,-1,6.302715,10.028608,5
A woman has not shot an automatic gun.,-1,5.036670,7.641005,4
A human baby was not granting a death certificate.,-1,5.799972,8.325897,3
